Duracion;DuracionAscendente;DuracionDescendente;GradienteAscendente;GradienteDescendente;Volumen;Qmax_GEOM;CaudalBaseEscalon;HoraEpisodio;VolumenEpisodio;DuracionEpisodio;Volumen -4;Duracion -4;Distancia de -4;Volumen -3;Duracion -3;Distancia de -3;Volumen -2;Duracion -2;Distancia de -2;Volumen -1;Duracion -1;Distancia de -1;Volumen 1;Duracion 1;Distancia de 1;Volumen 2;Duracion 2;Distancia de 2;Volumen 3;Duracion 3;Distancia de 3;Volumen 4;Duracion 4;Distancia de 4;VolumenCercanoMas1.1;DistanciaCercanoMas1.1;Etiqueta
29;14;14;0.010714285714285716;0.010714285714285716;2.998;0.15000000000000002;0;20.566666666666666;2.998;29;0.999;16;13681;3.997000000000001;38;5800;0.999;16;3040;1.998;25;2909;0.999;16;19;2.9979999999999998;29;553;0.999;16;794;0.999;16;892;2.9979999999999998;553;Grifos
16;5;5;0.0125;0.0125;0.999;0.0625;0;20.366666666666667;0.999;16;3.997000000000001;38;5848;0.999;16;3088;1.998;25;2957;2.998;29;19;2.9979999999999998;29;518;0.999;16;759;0.999;16;857;0.999;16;980;2.998;19;Grifos
29;14;14;0.010714285714285716;0.010714285714285716;2.9979999999999998;0.15000000000000002;0;21.266666666666666;2.9979999999999998;29;0.999;16;3622;1.998;25;3491;2.998;29;553;0.999;16;518;0.999;16;212;0.999;16;310;0.999;16;433;0.999;16;544;2.998;553;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.283333333333335;0.999;16;1.998;25;3732;2.998;29;794;0.999;16;759;2.9979999999999998;29;212;0.999;16;82;0.999;16;205;0.999;16;316;0.999;16;550;2.9979999999999998;212;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.916666666666668;0.999;16;2.998;29;892;0.999;16;857;2.9979999999999998;29;310;0.999;16;82;0.999;16;107;0.999;16;218;0.999;16;452;3.997000000000001;38;580;2.9979999999999998;310;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.966666666666665;0.999;16;0.999;16;980;2.9979999999999998;29;433;0.999;16;205;0.999;16;107;0.999;16;95;0.999;16;329;3.997000000000001;38;457;2.998;29;1866;2.9979999999999998;433;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.816666666666666;0.999;16;2.9979999999999998;29;544;0.999;16;316;0.999;16;218;0.999;16;95;0.999;16;218;3.997000000000001;38;346;2.998;29;1755;0.999;16;1882;3.997000000000001;346;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.716666666666665;0.999;16;0.999;16;550;0.999;16;452;0.999;16;329;0.999;16;218;3.997000000000001;38;112;2.998;29;1521;0.999;16;1648;0.999;16;2362;3.997000000000001;112;Cisternas
38;15;13;0.009166666666666667;0.010576923076923078;3.997000000000001;0.1375;0;21.85;3.997000000000001;38;0.999;16;580;0.999;16;457;0.999;16;346;0.999;16;112;2.998;29;1371;0.999;16;1498;0.999;16;2212;4.000000000000001;37;6808;2.998;1371;Cisternas
29;14;14;0.010714285714285716;0.010714285714285716;2.998;0.15000000000000002;0;21.333333333333332;2.998;29;0.999;16;1866;0.999;16;1755;0.999;16;1521;3.997000000000001;38;1371;0.999;16;98;0.999;16;812;4.000000000000001;37;5408;0.999;16;7363;3.997000000000001;1371;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.45;0.999;16;0.999;16;1882;0.999;16;1648;3.997000000000001;38;1498;2.998;29;98;0.999;16;698;4.000000000000001;37;5294;0.999;16;7249;3.9970000000000008;35;7400;2.998;98;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;21.35;0.999;16;0.999;16;2362;3.997000000000001;38;2212;2.998;29;812;0.999;16;698;4.000000000000001;37;4580;0.999;16;6535;3.9970000000000008;35;6686;3.0;30;7237;2.998;812;Cisternas
37;13;13;0.010576923076923078;0.010576923076923078;4.000000000000001;0.1375;0;23.95;4.000000000000001;37;3.997000000000001;38;6808;2.998;29;5408;0.999;16;5294;0.999;16;4580;0.999;16;1918;3.9970000000000008;35;2069;3.0;30;2620;0.999;16;4056;3.9970000000000008;2069;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;23.533333333333335;0.999;16;2.998;29;7363;0.999;16;7249;0.999;16;6535;4.000000000000001;37;1918;3.9970000000000008;35;135;3.0;30;686;0.999;16;2122;5.999000000000001;52;8866;3.9970000000000008;135;Fugas
35;14;17;0.011607142857142858;0.009558823529411765;3.9970000000000008;0.1625;0;23.05;3.9970000000000008;35;0.999;16;7400;0.999;16;6686;4.000000000000001;37;2069;0.999;16;135;3.0;30;516;0.999;16;1952;5.999000000000001;52;8696;2.9970000000000003;31;32253;3.0;516;Grifos
30;13;13;0.010576923076923078;0.010576923076923078;3.0;0.1375;0;23.233333333333334;3.0;30;0.999;16;7237;4.000000000000001;37;2620;0.999;16;686;3.9970000000000008;35;516;0.999;16;1406;5.999000000000001;52;8150;2.9970000000000003;31;31707;8.993000000000004;75;32586;3.9970000000000008;516;Cisternas
16;5;5;0.0125;0.0125;0.999;0.0625;0;0.16666666666666666;0.999;16;4.000000000000001;37;4056;0.999;16;2122;3.9970000000000008;35;1952;3.0;30;1406;5.999000000000001;52;6728;2.9970000000000003;31;30285;8.993000000000004;75;31164;1.9959999999999998;21;31408;3.0;1406;Cisternas
52;16;32;0.0125;0.00625;5.999000000000001;0.2;0;2.5666666666666664;5.999000000000001;52;0.999;16;8866;3.9970000000000008;35;8696;3.0;30;8150;0.999;16;6728;2.9970000000000003;31;23505;8.993000000000004;75;24384;1.9959999999999998;21;24628;0.999;16;24900;0;3600;Grifos
31;15;16;0.009166666666666667;0.00859375;2.9970000000000003;0.1375;0;8.183333333333334;2.9970000000000003;31;3.9970000000000008;35;32253;3.0;30;31707;0.999;16;30285;5.999000000000001;52;23505;8.993000000000004;75;848;1.9959999999999998;21;1092;0.999;16;1364;7.9990000000000006;57;1385;8.993000000000004;848;Cisternas
